ATMID,ATMCode,BranchID,ATMName,City,Locality,ATMType,LocationType,CashCapacity,InstallationDate,Status,LastServiceDate
1,ATM00001,1,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,Off-site,Branch,5000000,2014-08-14,Under Maintenance,2026-07-11
2,ATM00002,1,ApexTrust ATM - Connaught Place,Delhi,Connaught Place,On-site,Branch,3000000,2024-04-27,Active,2026-07-11
3,ATM00003,1,ApexTrust ATM - Rohini,Delhi,Rohini,Off-site,Petrol Pump,4000000,2020-06-21,Active,2026-07-11
4,ATM00004,1,ApexTrust ATM - Lajpat Nagar,Delhi,Lajpat Nagar,On-site,Branch,2000000,2024-10-11,Active,2026-07-11
5,ATM00005,2,ApexTrust ATM - Lajpat Nagar,Delhi,Lajpat Nagar,Off-site,Mall,3000000,2018-04-13,Active,2026-07-11
6,ATM00006,2,ApexTrust ATM - Dwarka,Delhi,Dwarka,On-site,Branch,3000000,2020-07-27,Active,2026-07-11
7,ATM00007,2,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,Off-site,Petrol Pump,4000000,2025-01-08,Active,2026-07-11
8,ATM00008,3,ApexTrust ATM - Saket,Delhi,Saket,Off-site,Mall,5000000,2020-04-11,Active,2026-07-11
9,ATM00009,3,ApexTrust ATM - Rohini,Delhi,Rohini,Off-site,Hospital,4000000,2023-03-01,Active,2026-07-11
10,ATM00010,3,ApexTrust ATM - Lajpat Nagar,Delhi,Lajpat Nagar,On-site,Market,4000000,2024-01-10,Active,2026-07-11
11,ATM00011,3,ApexTrust ATM - Pitampura,Delhi,Pitampura,On-site,Market,3000000,2016-01-10,Active,2026-07-11
12,ATM00012,3,ApexTrust ATM - Karol Bagh,Delhi,Karol Bagh,On-site,Hospital,2000000,2020-09-27,Active,2026-07-11
13,ATM00013,3,ApexTrust ATM - Connaught Place,Delhi,Connaught Place,Off-site,Market,4000000,2022-11-25,Active,2026-07-11
14,ATM00014,4,ApexTrust ATM - Vasant Kunj,Delhi,Vasant Kunj,On-site,Branch,2000000,2018-01-17,Active,2026-07-11
15,ATM00015,4,ApexTrust ATM - Saket,Delhi,Saket,Off-site,Branch,5000000,2019-07-11,Active,2026-07-11
16,ATM00016,4,ApexTrust ATM - Saket,Delhi,Saket,On-site,Metro Station,2000000,2017-05-27,Out of Service,2026-07-11
17,ATM00017,5,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,On-site,Mall,3000000,2024-05-28,Active,2026-07-11
18,ATM00018,5,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,On-site,Hospital,4000000,2017-09-04,Active,2026-07-11
19,ATM00019,5,ApexTrust ATM - Saket,Delhi,Saket,On-site,Mall,3000000,2022-06-11,Active,2026-07-11
20,ATM00020,6,ApexTrust ATM - Vasant Kunj,Delhi,Vasant Kunj,Off-site,Branch,3000000,2023-10-15,Active,2026-07-11
21,ATM00021,6,ApexTrust ATM - Saket,Delhi,Saket,On-site,Branch,4000000,2017-07-08,Active,2026-07-11
22,ATM00022,6,ApexTrust ATM - Vasant Kunj,Delhi,Vasant Kunj,On-site,Mall,4000000,2022-12-19,Active,2026-07-11
23,ATM00023,7,ApexTrust ATM - Vasant Kunj,Delhi,Vasant Kunj,On-site,Branch,5000000,2024-02-29,Active,2026-07-11
24,ATM00024,7,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,Off-site,Branch,2000000,2019-01-29,Active,2026-07-11
25,ATM00025,7,ApexTrust ATM - Saket,Delhi,Saket,On-site,Branch,2000000,2017-01-05,Active,2026-07-11
26,ATM00026,7,ApexTrust ATM - Lajpat Nagar,Delhi,Lajpat Nagar,Off-site,Mall,2000000,2023-01-11,Active,2026-07-11
27,ATM00027,7,ApexTrust ATM - Rohini,Delhi,Rohini,Off-site,Petrol Pump,5000000,2018-04-14,Active,2026-07-11
28,ATM00028,7,ApexTrust ATM - Connaught Place,Delhi,Connaught Place,On-site,Branch,5000000,2017-11-07,Active,2026-07-11
29,ATM00029,8,ApexTrust ATM - Connaught Place,Delhi,Connaught Place,On-site,Market,4000000,2024-01-30,Active,2026-07-11
30,ATM00030,8,ApexTrust ATM - Rohini,Delhi,Rohini,On-site,Hospital,4000000,2018-04-08,Active,2026-07-11
31,ATM00031,9,ApexTrust ATM - Rohini,Delhi,Rohini,On-site,Market,3000000,2019-12-29,Active,2026-07-11
32,ATM00032,9,ApexTrust ATM - Connaught Place,Delhi,Connaught Place,On-site,Branch,3000000,2018-11-15,Active,2026-07-11
33,ATM00033,10,ApexTrust ATM - Saket,Delhi,Saket,Off-site,Market,2000000,2024-12-24,Active,2026-07-11
34,ATM00034,10,ApexTrust ATM - Rajouri Garden,Delhi,Rajouri Garden,On-site,Market,4000000,2023-03-30,Active,2026-07-11
35,ATM00035,10,ApexTrust ATM - Pitampura,Delhi,Pitampura,Off-site,Branch,4000000,2017-04-10,Active,2026-07-11
36,ATM00036,10,ApexTrust ATM - Vasant Kunj,Delhi,Vasant Kunj,On-site,Petrol Pump,3000000,2018-02-27,Active,2026-07-11
37,ATM00037,11,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,Off-site,Metro Station,3000000,2023-02-09,Active,2026-07-11
38,ATM00038,11,ApexTrust ATM - Pitampura,Delhi,Pitampura,Off-site,Branch,4000000,2023-07-28,Active,2026-07-11
39,ATM00039,11,ApexTrust ATM - Rajouri Garden,Delhi,Rajouri Garden,On-site,Market,2000000,2021-04-11,Active,2026-07-11
40,ATM00040,11,ApexTrust ATM - Karol Bagh,Delhi,Karol Bagh,On-site,Branch,5000000,2024-10-27,Active,2026-07-11
41,ATM00041,11,ApexTrust ATM - Rajouri Garden,Delhi,Rajouri Garden,Off-site,Metro Station,5000000,2014-10-09,Active,2026-07-11
42,ATM00042,12,ApexTrust ATM - Karol Bagh,Delhi,Karol Bagh,On-site,Metro Station,4000000,2019-09-17,Active,2026-07-11
43,ATM00043,12,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,Off-site,Petrol Pump,5000000,2025-02-04,Active,2026-07-11
44,ATM00044,12,ApexTrust ATM - Janakpuri,Delhi,Janakpuri,Off-site,Hospital,2000000,2014-08-29,Active,2026-07-11
45,ATM00045,12,ApexTrust ATM - Connaught Place,Delhi,Connaught Place,Off-site,Metro Station,5000000,2021-09-09,Active,2026-07-11
46,ATM00046,12,ApexTrust ATM - Rajouri Garden,Delhi,Rajouri Garden,On-site,Branch,2000000,2024-09-11,Active,2026-07-11
47,ATM00047,12,ApexTrust ATM - Karol Bagh,Delhi,Karol Bagh,Off-site,Branch,4000000,2022-05-28,Active,2026-07-11
48,ATM00048,13,ApexTrust ATM - Pitampura,Delhi,Pitampura,Off-site,Branch,5000000,2022-07-22,Active,2026-07-11
49,ATM00049,13,ApexTrust ATM - Karol Bagh,Delhi,Karol Bagh,Off-site,Market,2000000,2022-04-26,Active,2026-07-11
50,ATM00050,13,ApexTrust ATM - Rohini,Delhi,Rohini,On-site,Branch,3000000,2021-02-11,Active,2026-07-11
51,ATM00051,13,ApexTrust ATM - Saket,Delhi,Saket,Off-site,Metro Station,2000000,2024-12-06,Active,2026-07-11
