BranchID,BranchName,BranchCode,IFSCCode,City,Region,Address,ManagerName,PhoneNumber,Email,OpeningDate,Status,BranchType
1,ApexTrust Bank Delhi Branch 001,0001,ATBK00001,Delhi,Delhi NCR,"H.No. 34
Kale Path",Pahal Desai,2698115042,delhi001@apextrustbank.com,2007-12-13,Active,Urban
2,ApexTrust Bank Delhi Branch 002,0002,ATBK00002,Delhi,Delhi NCR,"42/957
Shetty Nagar",Lila Kurian,5413456178,delhi002@apextrustbank.com,2016-03-09,Active,Urban
3,ApexTrust Bank Delhi Branch 003,0003,ATBK00003,Delhi,Delhi NCR,"562
Golla Circle",Mugdha Sridhar,8090428564,delhi003@apextrustbank.com,2014-12-06,Active,Metro
4,ApexTrust Bank Delhi Branch 004,0004,ATBK00004,Delhi,Delhi NCR,"H.No. 14, Talwar Marg",Darpan Venkataraman,2235144147,delhi004@apextrustbank.com,2020-09-04,Active,Metro
5,ApexTrust Bank Delhi Branch 005,0005,ATBK00005,Delhi,Delhi NCR,"25/333
Ahuja Nagar",Oliver Rastogi,3768189819,delhi005@apextrustbank.com,2006-11-19,Active,Urban
6,ApexTrust Bank Delhi Branch 006,0006,ATBK00006,Delhi,Delhi NCR,"34, Sharma Road",Dakshesh Dani,2779949770,delhi006@apextrustbank.com,2019-05-05,Active,Metro
7,ApexTrust Bank Delhi Branch 007,0007,ATBK00007,Delhi,Delhi NCR,"14
Sekhon",Ojas Mukherjee,5171754062,delhi007@apextrustbank.com,2021-12-11,Active,Metro
8,ApexTrust Bank Delhi Branch 008,0008,ATBK00008,Delhi,Delhi NCR,"H.No. 915, Walia Zila",Mahika Mutti,6387990269,delhi008@apextrustbank.com,2008-02-07,Active,Urban
9,ApexTrust Bank Delhi Branch 009,0009,ATBK00009,Delhi,Delhi NCR,"H.No. 91, Tank Nagar",Pratyush Khurana,5989459915,delhi009@apextrustbank.com,2013-06-30,Active,Metro
10,ApexTrust Bank Delhi Branch 010,0010,ATBK00010,Delhi,Delhi NCR,"H.No. 342
Shanker Chowk",Ekaja Chaudhuri,4292967464,delhi010@apextrustbank.com,2001-12-03,Active,Metro
11,ApexTrust Bank Delhi Branch 011,0011,ATBK00011,Delhi,Delhi NCR,"90/20, Rajagopalan Nagar",Advaith Tak,8097281673,delhi011@apextrustbank.com,2017-10-12,Active,Urban
12,ApexTrust Bank Delhi Branch 012,0012,ATBK00012,Delhi,Delhi NCR,"557, Sarna Zila",Ekantika Chanda,7069831039,delhi012@apextrustbank.com,2009-09-22,Active,Metro
13,ApexTrust Bank Delhi Branch 013,0013,ATBK00013,Delhi,Delhi NCR,"49, Thakur Zila",Ishwar Joshi,3249677197,delhi013@apextrustbank.com,2006-11-20,Active,Metro
14,ApexTrust Bank Delhi Branch 014,0014,ATBK00014,Delhi,Delhi NCR,"H.No. 102, Walla",Thomas Gara,5457941808,delhi014@apextrustbank.com,2003-05-13,Active,Urban
15,ApexTrust Bank Delhi Branch 015,0015,ATBK00015,Delhi,Delhi NCR,"H.No. 616, Hegde Road",Advika Taneja,5292103093,delhi015@apextrustbank.com,2013-11-26,Active,Metro
16,ApexTrust Bank Delhi Branch 016,0016,ATBK00016,Delhi,Delhi NCR,"H.No. 711, Bhalla",Forum Kulkarni,7749413000,delhi016@apextrustbank.com,2019-03-04,Active,Metro
17,ApexTrust Bank Delhi Branch 017,0017,ATBK00017,Delhi,Delhi NCR,"77/021, Borah Marg",Jagrati Chadha,3913415288,delhi017@apextrustbank.com,2005-11-03,Active,Metro
18,ApexTrust Bank Delhi Branch 018,0018,ATBK00018,Delhi,Delhi NCR,"776, Bhatnagar Ganj",Nachiket Dass,4730748262,delhi018@apextrustbank.com,2008-03-09,Active,Urban
19,ApexTrust Bank Delhi Branch 019,0019,ATBK00019,Delhi,Delhi NCR,"H.No. 271, Lal Zila",Chakradev Kashyap,5480318672,delhi019@apextrustbank.com,2019-05-05,Active,Urban
20,ApexTrust Bank Delhi Branch 020,0020,ATBK00020,Delhi,Delhi NCR,"34
Guha Street",Urvi Chanda,5199342687,delhi020@apextrustbank.com,2009-10-24,Active,Metro
21,ApexTrust Bank Delhi Branch 021,0021,ATBK00021,Delhi,Delhi NCR,"507
Soni Ganj",Gunbir Pingle,7215745502,delhi021@apextrustbank.com,2009-01-18,Active,Metro
22,ApexTrust Bank Delhi Branch 022,0022,ATBK00022,Delhi,Delhi NCR,"485
Sen Circle",Faraj Palla,2214753282,delhi022@apextrustbank.com,2009-05-26,Active,Metro
23,ApexTrust Bank Delhi Branch 023,0023,ATBK00023,Delhi,Delhi NCR,"H.No. 39
Sagar Chowk",Laksh Hayre,2813481380,delhi023@apextrustbank.com,2003-04-13,Active,Metro
24,ApexTrust Bank Delhi Branch 024,0024,ATBK00024,Delhi,Delhi NCR,"69/451
Wagle Zila",Hemang Savant,8728685340,delhi024@apextrustbank.com,2002-03-03,Active,Urban
25,ApexTrust Bank Delhi Branch 025,0025,ATBK00025,Delhi,Delhi NCR,"99, Sarma Zila",Vedant Kannan,4673218355,delhi025@apextrustbank.com,2004-03-17,Active,Metro
26,ApexTrust Bank Delhi Branch 026,0026,ATBK00026,Delhi,Delhi NCR,"935
Goel Chowk",Hemal Iyengar,7926822726,delhi026@apextrustbank.com,2013-12-07,Active,Urban
27,ApexTrust Bank Delhi Branch 027,0027,ATBK00027,Delhi,Delhi NCR,"H.No. 900, Barad Path",Shravya Chawla,3851556473,delhi027@apextrustbank.com,2021-08-11,Active,Urban
28,ApexTrust Bank Delhi Branch 028,0028,ATBK00028,Delhi,Delhi NCR,"972
Barman Chowk",Daniel Babu,1292554671,delhi028@apextrustbank.com,2021-06-16,Active,Urban
29,ApexTrust Bank Delhi Branch 029,0029,ATBK00029,Delhi,Delhi NCR,"83/21, Agate Street",Shivansh Batta,6289100681,delhi029@apextrustbank.com,2009-08-28,Active,Metro
30,ApexTrust Bank Delhi Branch 030,0030,ATBK00030,Delhi,Delhi NCR,"31/653, Garde Zila",Tara Korpal,2885804101,delhi030@apextrustbank.com,2005-02-25,Active,Urban
31,ApexTrust Bank Delhi Branch 031,0031,ATBK00031,Delhi,Delhi NCR,"00/603, Chaudry Marg",Bina Gopal,6302994819,delhi031@apextrustbank.com,2008-09-17,Active,Urban
32,ApexTrust Bank Delhi Branch 032,0032,ATBK00032,Delhi,Delhi NCR,"H.No. 93
Sarkar Street",Jagat Raman,1463872052,delhi032@apextrustbank.com,2018-09-04,Active,Metro
33,ApexTrust Bank Delhi Branch 033,0033,ATBK00033,Delhi,Delhi NCR,"H.No. 255, Gola",Jeevika Butala,9370902628,delhi033@apextrustbank.com,2010-07-24,Active,Urban
34,ApexTrust Bank Delhi Branch 034,0034,ATBK00034,Delhi,Delhi NCR,"H.No. 74
Gour Street",Peter Koshy,0053831806,delhi034@apextrustbank.com,2007-07-10,Active,Metro
35,ApexTrust Bank Delhi Branch 035,0035,ATBK00035,Delhi,Delhi NCR,"91/795, Minhas Chowk",Joshua Lata,8465195464,delhi035@apextrustbank.com,2004-07-01,Active,Metro
36,ApexTrust Bank Noida Branch 001,0036,ATBK00036,Noida,Delhi NCR,"93
Kunda Road",Ekalinga Shere,0963572189,noida001@apextrustbank.com,2005-03-24,Active,Metro
